radius,slot,step_input,he_output,dist_km
0.5,400,-2.4203944995125017e-05,-5.327566652382194e-10,4.380600384305171
0.5,402,-2.4203944995125017e-05,3.150274194042378e-10,4.380600384305171
0.5,404,-2.4203944995125017e-05,2.832731742585097e-10,4.380600384305171
0.5,406,-2.4203944995125017e-05,7.1058379156361e-10,4.380600384305171
0.5,408,-2.4203944995125017e-05,4.6344545851846904e-10,4.380600384305171
0.5,411,-2.4203944995125017e-05,3.7418809907133616e-10,4.380600384305171
0.5,414,-2.4203944995125017e-05,4.524297091810975e-10,4.380600384305171
0.5,417,-2.4203944995125017e-05,7.071980055599314e-10,4.380600384305171
0.5,420,-2.4203944995125017e-05,-1.1526427426872705e-10,4.380600384305171
0.5,423,-2.4203944995125017e-05,2.9366514494602317e-10,4.380600384305171
0.5,426,-2.4203944995125017e-05,-3.432002594563287e-10,4.380600384305171
0.5,429,-2.4203944995125017e-05,6.937790156128376e-11,4.380600384305171
0.5,432,-2.4203944995125017e-05,1.6992690696437342e-09,4.380600384305171
0.5,435,-2.4203944995125017e-05,-3.1671022901941096e-10,4.380600384305171
0.5,438,-2.4203944995125017e-05,1.080190195254035e-10,4.380600384305171
0.5,441,-2.4203944995125017e-05,3.5382313490862263e-10,4.380600384305171
0.5,444,-2.4203944995125017e-05,-8.709611107442603e-10,4.380600384305171
0.5,447,-2.4203944995125017e-05,-1.8041849687225045e-10,4.380600384305171
0.5,450,-2.4203944995125017e-05,8.832659396007599e-10,4.380600384305171
0.5,453,-2.4203944995125017e-05,-3.564511264481328e-10,4.380600384305171
0.5,456,-2.4203944995125017e-05,5.044782346911725e-10,4.380600384305171
0.5,458,-2.4203944995125017e-05,3.274473750370865e-10,4.380600384305171
0.5,459,-2.4203944995125017e-05,3.269051825366399e-10,4.380600384305171
0.5,460,-2.4203944995125017e-05,3.4423294632615033e-10,4.380600384305171
0.5,461,-2.4203944995125017e-05,6.657734184997458e-10,4.380600384305171
0.5,462,-2.4203944995125017e-05,3.379494672307132e-10,4.380600384305171
0.5,463,-2.4203944995125017e-05,1.0022543971041001e-09,4.380600384305171
0.5,464,-2.4203944995125017e-05,9.811971202303394e-11,4.380600384305171
0.5,465,-2.4203944995125017e-05,-8.527922968529546e-10,4.380600384305171
0.5,466,-2.4203944995125017e-05,4.394402717471905e-10,4.380600384305171
0.5,467,-2.4203944995125017e-05,5.373718104404632e-10,4.380600384305171
0.5,468,-2.4203944995125017e-05,3.9780995061649035e-10,4.380600384305171
0.5,469,-2.4203944995125017e-05,7.134564639764906e-10,4.380600384305171
0.5,470,-2.4203944995125017e-05,1.7900601683529785e-10,4.380600384305171
0.5,471,-2.4203944995125017e-05,2.7528725087623076e-11,4.380600384305171
0.5,472,-2.4203944995125017e-05,2.298488390367982e-10,4.380600384305171
0.5,473,-2.4203944995125017e-05,2.991731705558e-10,4.380600384305171
0.5,475,-2.4203944995125017e-05,1.5783726084442223e-10,4.380600384305171
0.5,477,-2.4203944995125017e-05,5.743393504009073e-10,4.380600384305171
0.5,479,-2.4203944995125017e-05,2.8298732819157005e-10,4.380600384305171
0.5,481,-2.4203944995125017e-05,2.439270129926487e-10,4.380600384305171
0.5,483,-2.4203944995125017e-05,2.3629595917606555e-10,4.380600384305171
0.5,485,-2.4203944995125017e-05,5.613313748637646e-10,4.380600384305171
0.5,487,-2.4203944995125017e-05,7.152911248036716e-10,4.380600384305171
0.5,489,-2.4203944995125017e-05,6.564478984234232e-10,4.380600384305171
0.5,491,-2.4203944995125017e-05,3.3289392940851727e-10,4.380600384305171
0.5,493,-2.4203944995125017e-05,4.196802914167813e-10,4.380600384305171
0.5,495,-2.4203944995125017e-05,7.443371217719972e-10,4.380600384305171
0.5,497,-2.4203944995125017e-05,5.904737689107046e-10,4.380600384305171
0.5,499,-2.4203944995125017e-05,-1.9257742635718015e-10,4.380600384305171
0.5,501,-2.4203944995125017e-05,4.796772799963807e-10,4.380600384305171
0.5,502,-2.4203944995125017e-05,6.699092007598075e-10,4.380600384305171
0.5,503,-2.4203944995125017e-05,5.262828977868309e-10,4.380600384305171
0.5,504,-2.4203944995125017e-05,9.719513238345711e-10,4.380600384305171
0.5,505,-2.4203944995125017e-05,5.397151408507034e-10,4.380600384305171
0.5,506,-2.4203944995125017e-05,7.112399993347444e-10,4.380600384305171
0.5,507,-2.4203944995125017e-05,3.966129984750589e-10,4.380600384305171
0.5,508,-2.4203944995125017e-05,3.8129924979008936e-10,4.380600384305171
0.5,509,-2.4203944995125017e-05,5.501553685397644e-10,4.380600384305171
